_time,value_indoor,value_outdoor,forecast
2025-03-07 18:05:00+00:00,19.8,12.200000000000001,20.403301100961993
2025-03-07 18:05:30+00:00,19.8,12.2,20.39999227283941
2025-03-07 18:06:00+00:00,19.8,12.200000000000001,20.36127076634882
2025-03-07 18:06:30+00:00,19.8,12.200000000000001,20.43291363479313
2025-03-07 18:07:00+00:00,19.8,12.200000000000001,20.290893152392737
2025-03-07 18:07:30+00:00,19.8,12.200000000000001,20.30490190565622
2025-03-07 18:08:00+00:00,19.8,12.200000000000001,20.39720225704331
2025-03-07 18:08:30+00:00,19.833333333333332,12.200000000000001,20.417909515681437
2025-03-07 18:09:00+00:00,19.82,12.18,20.433903152511938
2025-03-07 18:09:30+00:00,19.816666666666666,12.133333333333333,20.427819719854767
2025-03-07 18:10:00+00:00,19.833333333333332,12.183333333333332,20.414621503250476
2025-03-07 18:10:30+00:00,19.883333333333336,12.166666666666666,20.44782434104277
2025-03-07 18:11:00+00:00,19.900000000000002,12.1,20.32436388428835
2025-03-07 18:11:30+00:00,19.900000000000002,12.1,20.299999792534113
2025-03-07 18:12:00+00:00,19.900000000000002,12.1,20.31663947274632
2025-03-07 18:12:30+00:00,19.9,12.1,20.39633678640023
2025-03-07 18:13:00+00:00,19.900000000000002,12.1,20.466665034862384
2025-03-07 18:13:30+00:00,19.900000000000002,12.1,20.443478260869508
2025-03-07 18:14:00+00:00,19.900000000000002,12.1,20.421257041196224
2025-03-07 18:14:30+00:00,19.900000000000002,12.1,20.399999842115573
2025-03-07 18:15:00+00:00,19.900000000000002,12.1,20.37956489858497
2025-03-07 18:15:30+00:00,19.900000000000002,12.083333333333334,20.359980054062515
2025-03-07 18:16:00+00:00,19.9,12.1,20.34117647058823
2025-03-07 18:16:30+00:00,19.916666666666668,12.083333333333334,20.323052643647042
2025-03-07 18:17:00+00:00,19.933333333333334,12.066666666666668,20.34116859067812
2025-03-07 18:17:30+00:00,19.95,12.1,20.42962962962954
2025-03-07 18:18:00+00:00,19.983333333333334,12.1,20.481814166801342
2025-03-07 18:18:30+00:00,19.983333333333334,12.1,20.464284795457218
2025-03-07 18:19:00+00:00,20.0,12.1,20.44734861928714
2025-03-07 18:19:30+00:00,20.0,12.1,20.43101522966606
2025-03-07 18:20:00+00:00,20.0,12.1,20.41525423728818
2025-03-07 18:20:30+00:00,20.0,12.1,20.39999907102964
2025-03-07 18:21:00+00:00,20.0,12.050000000000002,20.385219069995387
2025-03-07 18:21:30+00:00,20.0,12.066666666666668,20.37094819028991
2025-03-07 18:22:00+00:00,20.0,12.016666666666666,20.35714285714296
2025-03-07 18:22:30+00:00,20.0,12.0,19.104123865688454
2025-03-07 18:23:00+00:00,20.0,12.016666666666666,19.054550411993624
2025-03-07 18:23:30+00:00,20.0,12.0,18.983856076559224
2025-03-07 18:24:00+00:00,20.0,12.0,19.091776489794338
2025-03-07 18:24:30+00:00,20.016666666666666,12.0,20.482333272348246
2025-03-07 18:25:00+00:00,20.0,12.0,20.4695594315062
2025-03-07 18:25:30+00:00,20.016666666666666,12.0,20.45714099538485
2025-03-07 18:26:00+00:00,20.03333333333333,12.0,20.44506887984787
2025-03-07 18:26:30+00:00,20.049999999999997,12.0,20.433306574968444
2025-03-07 18:27:00+00:00,20.1,12.0,20.421912587930738
2025-03-07 18:27:30+00:00,20.099999999999998,11.983333333333334,19.3858163763673
2025-03-07 18:28:00+00:00,20.099999999999998,11.916666666666666,19.3454822235613
2025-03-07 18:28:30+00:00,20.099999999999998,11.950000000000001,19.434551873134073
2025-03-07 18:29:00+00:00,20.099999999999998,11.9,19.422694341679655
2025-03-07 18:29:30+00:00,20.099999999999998,11.9,20.546153846153683
2025-03-07 18:30:00+00:00,20.099999999999998,11.9,20.53544303797474
2025-03-07 18:30:30+00:00,20.099999999999998,11.9,20.524994725426364
2025-03-07 18:31:00+00:00,20.1,11.9,20.51755961229583
2025-03-07 18:31:30+00:00,20.099999999999998,11.9,20.504872632559323
2025-03-07 18:32:00+00:00,20.116666666666667,11.833333333333334,20.497233515963742
2025-03-07 18:32:30+00:00,20.183333333333334,11.833333333333334,20.487506108128677
2025-03-07 18:33:00+00:00,20.183333333333334,11.816666666666665,20.504221993194264
2025-03-07 18:33:30+00:00,20.2,11.8,19.606853794873288
2025-03-07 18:34:00+00:00,20.2,11.799999999999999,20.515352911987392
2025-03-07 18:34:30+00:00,20.2,11.799999999999999,20.568714145741296
2025-03-07 18:35:00+00:00,20.2,11.783333333333331,20.574668254730064
2025-03-07 18:35:30+00:00,20.2,11.783333333333331,20.580625106802902
2025-03-07 18:36:00+00:00,20.2,11.716666666666669,20.58817968859105
2025-03-07 18:36:30+00:00,20.2,11.700000000000001,20.584463326964382
2025-03-07 18:37:00+00:00,20.159999999999997,11.7,20.575932185961815
2025-03-07 18:37:30+00:00,20.0,11.700000000000001,20.57655962349574
2025-03-07 18:38:00+00:00,19.71666666666667,11.716666666666669,19.76729645489053
2025-03-07 18:38:30+00:00,19.483333333333334,11.700000000000001,20.601314577969074
2025-03-07 18:39:00+00:00,19.250000000000004,11.633333333333333,19.778123220547986
2025-03-07 18:39:30+00:00,19.083333333333332,11.633333333333333,19.777956712649797
2025-03-07 18:40:00+00:00,18.96666666666667,11.6,19.804120955103297
2025-03-07 18:40:30+00:00,18.983333333333334,11.566666666666668,20.63227418374112
2025-03-07 18:41:00+00:00,19.02,11.580000000000002,20.642395545527723
2025-03-07 18:41:30+00:00,19.11666666666667,11.6,20.647247103677778
2025-03-07 18:42:00+00:00,19.2,11.6,20.65395450624811
2025-03-07 18:42:30+00:00,19.3,11.6,19.99162631900977
2025-03-07 18:43:00+00:00,19.383333333333336,11.566666666666668,19.963310645012108
2025-03-07 18:43:30+00:00,19.466666666666665,11.533333333333333,19.94163441407345
2025-03-07 18:44:00+00:00,19.516666666666666,11.5,19.912402626502885
2025-03-07 18:44:30+00:00,19.6,11.580000000000002,19.87657223156201
2025-03-07 18:45:00+00:00,19.633333333333336,11.550000000000002,20.205155804678192
2025-03-07 18:45:30+00:00,19.7,11.5,19.82959514995192
2025-03-07 18:46:00+00:00,19.766666666666666,11.483333333333334,19.812297067496498
2025-03-07 18:46:30+00:00,19.8,11.4,19.850799848730986
2025-03-07 18:47:00+00:00,19.883333333333333,11.416666666666666,19.874094506048593
2025-03-07 18:47:30+00:00,19.900000000000002,11.4,19.934684720803194
2025-03-07 18:48:00+00:00,19.919999999999998,11.4,20.029946984096917
2025-03-07 18:48:30+00:00,19.95,11.350000000000001,20.021456963318386
